phi,delta,H,G
0.0745969505089054,-0.05598912963528482,6.075240991531599,7.773245540426105
0.07499374386954767,-0.057015319155795066,6.066378305501589,7.845438181539445
0.07539662862430375,-0.058033716892072526,6.05717011702859,7.917375183720911
0.07580559467550241,-0.05904425110766574,6.047616175949619,7.989052090867768
0.07622063155144179,-0.060046850198154283,6.037716249974202,8.060464442390268
0.0766417284063895,-0.061041442691149084,6.027470124684388,8.131607773211641
0.07706887402058253,-0.06202795724629223,6.0168776035347395,8.202477613768096
0.0775020568002273,-0.06300632265525703,6.005938507852335,8.273069490008824
0.07794126477749966,-0.06397646784174806,5.99465267683677,8.343378923395992
0.07838648561054483,-0.06493832186150109,5.983019967560159,8.413401430904749
0.07883770658347748,-0.0658918139022831,5.971040254967128,8.48313252502322
0.07929491460638168,-0.06683687328389226,5.958713431874822,8.552567713752524
0.07975809621531092,-0.06777342945815804,5.9460394089729025,8.621702500606736
0.08022723757228807,-0.06870141200894114,5.93301811482355,8.690532384612933
0.08070232446530548,-0.06962075065213333,5.919649495861456,8.759052860311153
0.08118334230832484,-0.07053137523565775,5.905933516393832,8.827259417754432
0.08167027614127732,-0.07143321573946868,5.891870158600404,8.895147542508768
0.08216311063006346,-0.07232620227555173,5.877459422533417,8.962712715653156
0.08266183006655323,-0.07321026508792355,5.86270132611763,9.029950413779552
0.08316641836858599,-0.07408533455263225,5.847595905150322,9.096856108992906
0.08367685907997055,-0.0749513411777569,5.832143213301283,9.16342526891115
0.08419313537048512,-0.075808215603408,5.816343322112823,9.229653356665176
0.08471523003587732,-0.07665588860172709,5.800196320999766,9.295535830898878
0.08524312549786417,-0.07749429107688718,5.7837023172494595,9.361068145769115
0.08577680380413215,-0.07832335406509225,5.766861436021757,9.426245750945737
0.08631624662833708,-0.07914300873457758,5.7496738203490345,9.491064091611564
0.08686143527010426,-0.07995318638560972,5.732139631136184,9.555518608462396
0.08741235065502838,-0.08075381845048646,5.714259047160614,9.619604737707018
0.08796897333467354,-0.08154483649353672,5.696032265072248,9.683317911067196
0.08853128348657324,-0.08232617221112071,5.677459499393529,9.746653555777671
0.08909926091423043,-0.08309775743162978,5.65854098251941,9.809607094586163
0.08967288504711744,-0.08385952411548658,5.639276964717367,9.87217394575337
0.09025213494067605,-0.084611404355145,5.619667714127389,9.934349523052987
0.09083698927631739,-0.08535333037509008,5.599713516761986,9.99612923577166
0.09142742636142208,-0.08608523453183811,5.579414676506176,10.05750848870904
0.09202342412934011,-0.08680704931393654,5.558771515117501,10.11848268217774
0.09262496013939088,-0.08751870734196421,5.537784372226016,10.179047212003363
0.09323201157686323,-0.08822014136853104,5.516453605334294,10.239197469524493
0.09384455525301537,-0.08891128427827813,5.494779589817422,10.29892884159268
0.09446256760507499,-0.08959206908787798,5.472762718923008,10.358236710572474
0.09508602469623911,-0.09026242894603409,5.45040340377117,10.41711645434139
0.09571490221567427,-0.0909222971334814,5.427702073354548,10.47556344628992
0.09634917547851632,-0.09157160706298592,5.404659174538296,10.533573055321552
0.09698881942587056,-0.09221029227934496,5.381275172060085,10.591140645852738
0.09763380862481176,-0.09283828645938696,5.357550548530103,10.648261577812915
0.09828411726838399,-0.09345552341197166,5.33348580443105,10.704931206644506
0.09893971917560085,-0.09406193707798999,5.30908145811815,10.761144883302903
0.09960058779144526,-0.09465746153036417,5.284338045819139,10.816897954256484
0.10026669618686962,-0.09524203097404757,5.259256121634269,10.872185761486607
0.10093801705879572,-0.0958155797460247,5.233836257536308,10.927003642487607
0.10161452273011476,-0.09637804231531141,5.208079043370544,10.981346930266794
0.10229618514968736,-0.09692935328295485,5.181985086854778,11.035210953344471
0.10298297599866488,-0.09746944988363017,5.155555033180141,11.088591183522107
0.10367487634681495,-0.0979984837039534,5.1287911947376665,11.141495762881508
0.10437186579075113,-0.09851653103011748,5.101695217400166,11.193928440194604
0.10507391812747514,-0.09902353001220696,5.074267661549216,11.245884806701824
0.10578100685108928,-0.09951941955232523,5.046509108307323,11.297360487272751
0.10649310515279631,-0.10000413930459448,5.018420159537917,11.348351140406153
0.10721018592089952,-0.10047762967515578,4.9900014378453585,11.398852458229952
0.10793222174080268,-0.10093983182216895,4.961253586574932,11.44886016650124
0.1086591848950101,-0.10139068765581268,4.932177269812849,11.49837002460628
0.10939104736312658,-0.10183013983828443,4.90277317238625,11.547377825560499
0.1101277808218574,-0.10225813178380053,4.873041999863199,11.595879396008492
0.11086935664500837,-0.1026746076585961,4.84298447855269,11.643870596224025
0.11161574590348583,-0.10307951238092508,4.812601355504643,11.691347320110028
0.11236691936529658,-0.10347279162106025,4.781893398509905,11.738305495198597
0.11312284749554796,-0.10385439180129317,4.750861396100246,11.784741082651
0.1138835004564478,-0.10422426009593429,4.719506157548369,11.830650077257669
0.11464884810730441,-0.10458234443131278,4.687828512867899,11.876028507438201
0.11541886000452667,-0.10492859348577671,4.65582931281339,11.920872435241371
0.11619350540162389,-0.10526295668969296,4.623509428880323,11.96517795634511
0.11697275324920596,-0.10558538422544717,4.590869753305103,12.008941200056519
0.11775657219498323,-0.10589582702744388,4.557911199065068,12.052158329311872
0.11854493058376654,-0.10619423678210638,4.524634699878476,12.094825540676604
0.1193377964574673,-0.10648056592787684,4.491041210204516,12.13693906434532
0.12013513755509735,-0.1067547676552162,4.4571317052433,12.178495164141795
0.12093692131276909,-0.10701679590660425,4.422907180935872,12.219490137518967
0.12174311486369543,-0.10726660537653956,4.3883686539642,12.259920315558942
0.12255368503818972,-0.1075041515115396,4.353517161751179,12.299782062972996
0.1233685983636658,-0.10772939051014054,4.3183537624606325,12.33907177810157
0.12418782106463824,-0.1079422793228975,4.282879534997302,12.377785892914277
0.12501131906272187,-0.10814277565238434,4.247095579006868,12.415920873009892
0.12583905797663208,-0.10833083795319373,4.211003014875933,12.453473217616361
0.12667100312218485,-0.10850642543193723,4.174602983732025,12.490439459590792
